DÍA;HORA;NOX;CO;HUMO
18/03/2022;6:00:00 a. m.;0;0;0
18/03/2022;6:01:00 a. m.;0;0;0
18/03/2022;6:02:00 a. m.;0;0;0
18/03/2022;6:03:00 a. m.;0;0;0
18/03/2022;6:04:00 a. m.;0;0;0
18/03/2022;6:05:00 a. m.;0;0;0
18/03/2022;6:06:00 a. m.;0;0;0
18/03/2022;6:07:00 a. m.;0;0;0
18/03/2022;6:08:00 a. m.;0;0;0
18/03/2022;6:09:00 a. m.;0;0;0
18/03/2022;6:10:00 a. m.;0;0;0
18/03/2022;6:11:00 a. m.;0;0;0
18/03/2022;6:12:00 a. m.;0;0;0
18/03/2022;6:13:00 a. m.;0;0;0
18/03/2022;6:14:00 a. m.;0;0;0
18/03/2022;6:15:00 a. m.;0;0;0
18/03/2022;6:16:00 a. m.;0;0;0
18/03/2022;6:17:00 a. m.;0;0;0
18/03/2022;6:18:00 a. m.;0;0;0
18/03/2022;6:19:00 a. m.;0;0;0
18/03/2022;6:20:00 a. m.;0;0;0
18/03/2022;6:21:00 a. m.;0;0;0
18/03/2022;6:22:00 a. m.;0;0;0
18/03/2022;6:23:00 a. m.;0;0;0
18/03/2022;6:24:00 a. m.;0;0;0
18/03/2022;6:25:00 a. m.;0;0;0
18/03/2022;6:26:00 a. m.;0;0;0
18/03/2022;6:27:00 a. m.;0;0;0
18/03/2022;6:28:00 a. m.;0;0;0
18/03/2022;6:29:00 a. m.;0;0;0
18/03/2022;6:30:00 a. m.;0;0;0
18/03/2022;6:31:00 a. m.;0;0;0
18/03/2022;6:32:00 a. m.;0;0;0
18/03/2022;6:33:00 a. m.;0;0;0
18/03/2022;6:34:00 a. m.;0;0;0
18/03/2022;6:35:00 a. m.;0;0;0
18/03/2022;6:36:00 a. m.;0;0;0
18/03/2022;6:37:00 a. m.;0;0;0
18/03/2022;6:38:00 a. m.;0;0;0
18/03/2022;6:39:00 a. m.;0;0;0
18/03/2022;6:40:00 a. m.;0;0;0
18/03/2022;6:41:00 a. m.;0;0;0
18/03/2022;6:42:00 a. m.;0;0;0
18/03/2022;6:43:00 a. m.;0;0;0
18/03/2022;6:44:00 a. m.;0;0;0
18/03/2022;6:45:00 a. m.;0;0;0
18/03/2022;6:46:00 a. m.;0;0;0
18/03/2022;6:47:00 a. m.;0;0;0
18/03/2022;6:48:00 a. m.;0;0;0
18/03/2022;6:49:00 a. m.;0;0;0
18/03/2022;6:50:00 a. m.;0;0;0
18/03/2022;6:51:00 a. m.;0;0;0
18/03/2022;6:52:00 a. m.;0;0;0
18/03/2022;6:53:00 a. m.;84;1232;187
18/03/2022;6:54:00 a. m.;136;895;6
18/03/2022;6:55:00 a. m.;76;105;317
18/03/2022;6:56:00 a. m.;153;39;175
18/03/2022;6:57:00 a. m.;118;673;341
18/03/2022;6:58:00 a. m.;9;745;278
18/03/2022;6:59:00 a. m.;0;1139;176
18/03/2022;7:00:00 a. m.;27;80;36
18/03/2022;7:01:00 a. m.;55;148;291
18/03/2022;7:02:00 a. m.;79;35;377
18/03/2022;7:03:00 a. m.;66;929;227
18/03/2022;7:04:00 a. m.;115;1222;80
18/03/2022;7:05:00 a. m.;21;66;136
18/03/2022;7:06:00 a. m.;102;653;405
18/03/2022;7:07:00 a. m.;91;1094;49
18/03/2022;7:08:00 a. m.;70;658;188
18/03/2022;7:09:00 a. m.;71;229;79
18/03/2022;7:10:00 a. m.;146;443;341
18/03/2022;7:11:00 a. m.;105;646;0
18/03/2022;7:12:00 a. m.;142;494;122
18/03/2022;7:13:00 a. m.;154;40;365
18/03/2022;7:14:00 a. m.;84;1175;327
18/03/2022;7:15:00 a. m.;142;1087;369
18/03/2022;7:16:00 a. m.;93;1018;217
18/03/2022;7:17:00 a. m.;145;1199;133
18/03/2022;7:18:00 a. m.;108;901;196
18/03/2022;7:19:00 a. m.;144;656;38
18/03/2022;7:20:00 a. m.;47;448;319
18/03/2022;7:21:00 a. m.;12;1180;79
18/03/2022;7:22:00 a. m.;79;936;157
18/03/2022;7:23:00 a. m.;65;163;169
18/03/2022;7:24:00 a. m.;62;459;16
