0,DÍA,HORA,NOX,CO,HUMO
1,18/03/2022,06:00:00 a. m.,0,0,0
2,18/03/2022,06:01:00 a. m.,0,0,0
3,18/03/2022,06:02:00 a. m.,0,0,0
4,18/03/2022,06:03:00 a. m.,0,0,0
5,18/03/2022,06:04:00 a. m.,0,0,0
6,18/03/2022,06:05:00 a. m.,0,0,0
7,18/03/2022,06:06:00 a. m.,0,0,0
8,18/03/2022,06:07:00 a. m.,0,0,0
9,18/03/2022,06:08:00 a. m.,0,0,0
10,18/03/2022,06:09:00 a. m.,0,0,0
11,18/03/2022,06:10:00 a. m.,0,0,0
12,18/03/2022,06:11:00 a. m.,0,0,0
13,18/03/2022,06:12:00 a. m.,0,0,0
14,18/03/2022,06:13:00 a. m.,0,0,0
15,18/03/2022,06:14:00 a. m.,0,0,0
16,18/03/2022,06:15:00 a. m.,0,0,0
17,18/03/2022,06:16:00 a. m.,0,0,0
18,18/03/2022,06:17:00 a. m.,0,0,0
19,18/03/2022,06:18:00 a. m.,0,0,0
20,18/03/2022,06:19:00 a. m.,0,0,0
21,18/03/2022,06:20:00 a. m.,0,0,0
22,18/03/2022,06:21:00 a. m.,0,0,0
23,18/03/2022,06:22:00 a. m.,0,0,0
24,18/03/2022,06:23:00 a. m.,0,0,0
25,18/03/2022,06:24:00 a. m.,0,0,0
26,18/03/2022,06:25:00 a. m.,0,0,0
27,18/03/2022,06:26:00 a. m.,0,0,0
28,18/03/2022,06:27:00 a. m.,0,0,0
29,18/03/2022,06:28:00 a. m.,0,0,0
30,18/03/2022,06:29:00 a. m.,0,0,0
31,18/03/2022,06:30:00 a. m.,0,0,0
32,18/03/2022,06:31:00 a. m.,0,0,0
33,18/03/2022,06:32:00 a. m.,0,0,0
34,18/03/2022,06:33:00 a. m.,0,0,0
35,18/03/2022,06:34:00 a. m.,0,0,0
36,18/03/2022,06:35:00 a. m.,0,0,0
37,18/03/2022,06:36:00 a. m.,0,0,0
38,18/03/2022,06:37:00 a. m.,0,0,0
39,18/03/2022,06:38:00 a. m.,0,0,0
40,18/03/2022,06:39:00 a. m.,0,0,0
41,18/03/2022,06:40:00 a. m.,0,0,0
42,18/03/2022,06:41:00 a. m.,0,0,0
43,18/03/2022,06:42:00 a. m.,0,0,0
44,18/03/2022,06:43:00 a. m.,0,0,0
45,18/03/2022,06:44:00 a. m.,0,0,0
46,18/03/2022,06:45:00 a. m.,0,0,0
47,18/03/2022,06:46:00 a. m.,0,0,0
48,18/03/2022,06:47:00 a. m.,0,0,0
49,18/03/2022,06:48:00 a. m.,0,0,0
50,18/03/2022,06:49:00 a. m.,0,0,0
51,18/03/2022,06:50:00 a. m.,0,0,0
52,18/03/2022,06:51:00 a. m.,0,0,0
53,18/03/2022,06:52:00 a. m.,0,0,0
54,18/03/2022,06:53:00 a. m.,84,1232,187
55,18/03/2022,06:54:00 a. m.,136,895,6
56,18/03/2022,06:55:00 a. m.,76,105,317
57,18/03/2022,06:56:00 a. m.,153,39,175
58,18/03/2022,06:57:00 a. m.,118,673,341
59,18/03/2022,06:58:00 a. m.,9,745,278
60,18/03/2022,06:59:00 a. m.,0,1139,176
61,18/03/2022,07:00:00 a. m.,27,80,36
62,18/03/2022,07:01:00 a. m.,55,148,291
63,18/03/2022,07:02:00 a. m.,79,35,377
64,18/03/2022,07:03:00 a. m.,66,929,227
65,18/03/2022,07:04:00 a. m.,115,1222,80
66,18/03/2022,07:05:00 a. m.,21,66,136
67,18/03/2022,07:06:00 a. m.,102,653,405
68,18/03/2022,07:07:00 a. m.,91,1094,49
69,18/03/2022,07:08:00 a. m.,70,658,188
70,18/03/2022,07:09:00 a. m.,71,229,79
71,18/03/2022,07:10:00 a. m.,146,443,341
72,18/03/2022,07:11:00 a. m.,105,646,0
73,18/03/2022,07:12:00 a. m.,142,494,122
74,18/03/2022,07:13:00 a. m.,154,40,365
